site_name,Ecoregion,year,CS,DCW0,DCW,DCW1_5,DCW2,DCM,DCM0_5,PARd,DLW,DLWln,dDLW,dDLWln,dDLW2m,dDLW2mln,dDLW5m,dDLWsite,Kd490a,LS,bleaching,Report,CS0count,CS1count,CS2count,DCW-MCS0,DCW-MCS1,CS-MCS,C-PAR,C-PARprevm,CountDays,consecutive_days
ELP,Gulf of California,1998,0.80795471,0,0,0,0,0,0,5.402062776,36.009,3.583768907,55.985,4.025083798,55.37533333,4.014134248,55.3305,55.26633333,-0.162,5.402,0,,0,0,0,0,0,0.59,28,11,0,1
ELP,Gulf of California,1999,-1.289188147,-5.094,-1.29,0,0,-1.1,-0.9,4.557037048,30.235,3.409000194,46.992,3.849977374,50.7312,3.926541106,54.9554,50.7312,-0.151,4.557,0,,59,13,0,-0.73,0,-1.92,28,21,57,25
ELP,Gulf of California,2000,-0.990616719,-4.956,0,0,0,-0.83,-0.64,4.662787276,35.279,3.563287886,50.424,3.920467252,58.6164,4.071014521,69.1828,58.6164,-0.159,4.663,0,,50,9,0,0,0,-1.87,29,20,47,27
ELP,Gulf of California,2001,-1.117759576,-5.233,-2.22,0,0,-0.85,0,2.796345164,35.446,3.568010412,32.174,3.471158673,38.8938,3.660834855,54.1574,38.8938,-0.168,2.796,0,,49,17,0,-0.613,0,-1.51,23,25,48,42
ELP,Gulf of California,2002,-1.406331005,-7.193,-2.49,0,0,-1,-0.99,-0.211094643,35.136,3.559226246,19.1725,2.953476961,20.9076,3.040112729,17.327,20.9076,0.015,0,0,,60,17,1,-0.984,0,-1.99,20,21,58,47
ELP,Gulf of California,2003,0.81795471,0,0,0,0,0,0,2.211570378,15.749,2.756776871,25.75,3.248434627,26.6314,3.282090971,28.2278,26.6314,-0.16,2.212,0,,2,0,0,0,0,1.09,19,23,2,1
ELP,Gulf of California,2004,-0.977759576,-4.913,0,0,0,-0.89,-0.7,2.92223733,19.425,2.966560896,24.771,3.209673614,15.5732,2.745551488,17.2584,15.5732,-0.121,2.922,0,,62,4,0,-0.091,0,-1.57,21,21,61,46
ELP,Gulf of California,2005,0.192240424,0,0,0,0,0,0,2.70060702,28.154,3.33768944,25.492,3.238364677,19.0288,2.945953621,33.6258,19.0288,-0.096,2.701,0,,1,0,0,0,0,-0.23,13,28,0,1
ELP,Gulf of California,2006,-1.579188147,-8.791,-4.08,-1.579,0,-1.66,-1.46,0.803848964,20.027,2.997081363,11.278,2.422853925,11.46283333,2.439109917,11.6185,11.46283333,-0.121,0.804,0,,76,18,0,-1.385,0,-1.36,21,25,76,56
ELP,Gulf of California,2007,-0.878890528,-3.833,0,0,0,-0.32,0,1.993333875,30.849,3.429104335,15.395,2.734042781,20.2596,3.008628755,25.3676,20.2596,-0.131,1.993,0,,51,2,0,-0.071,0,-1.81,12,18,50,23
ELP,Gulf of California,2008,-2.000616719,-19.802,-16.78,-13.287,-2.001,-3.93,-3.93,1.987857247,29.977,3.400430421,29.552,3.386151423,22.76833333,3.125370682,19.7035,22.76833333,-0.039,1.988,1,Severe,80,65,23,-8.646,-1.07,-2.37,21,23,80,78
ELP,Gulf of California,2009,-0.23204529,-0.232,0,0,0,0,0,0.881225084,17.575,2.866477438,22.8385,3.128447708,17.661,2.871358819,12.86166667,17.661,-0.023,0.881,0,,9,0,0,0,0,-0.68,25,26,8,6
ELP,Gulf of California,2010,0.746526138,0,0,0,0,0,0,2.446654866,31.729,3.457231089,28.032,3.333346715,25.694,3.246257502,28.4276,25.694,-0.12,2.447,0,,0,0,0,0,0,0.86,20,27,0,1
ELP,Gulf of California,2011,-1.172640528,-8.886,-3.66,0,0,-1.49,-1.02,1.925079599,27.513,3.31465862,24.813,3.211367709,21.2796,3.057748867,18.436,21.2796,-0.051,1.925,1,Medium,81,24,2,-2.528,-2.247,-2.45,12,22,81,28
ELP,Gulf of California,2012,-1.433473862,-11.353,-4.66,0,0,-2.42,-2.42,0.712896277,21.549,3.070329412,17.402,2.856585142,16.0455,2.775428436,14.0645,16.0455,-0.112,0.568,0,,89,33,0,-2.101,0,-1.39,26,23,89,98
ELP,Gulf of California,2013,-0.45204529,-1.196,0,0,0,-0.08,0,2.759748151,20.331,3.012146815,29.288,3.377177876,28.0394,3.333610664,39.445,28.0394,-0.147,2.76,0,,28,0,0,0,0,-1.05,18,18,27,12
ELP,Gulf of California,2014,0.880811853,0,0,0,0,0,0,2.226531064,25.386,3.234197841,29.2495,3.37586248,34.67316667,3.545966093,46.21,34.67316667,-0.084,2.227,0,,0,0,0,0,0,0.63,27,23,0,1
ELP,Gulf of California,2015,1.074026138,0,0,0,0,0,0,2.831524466,14.581,2.679719311,29.872,3.396921587,32.89583333,3.493346003,42.37983333,32.89583333,-0.152,2.832,0,,0,0,0,0,0,0.61,28,25,0,1
ELP,Gulf of California,2016,1.476526138,0,0,0,0,0,0,4.29040945,21.674,3.076113386,41.169,3.717685546,48.8516,3.888787131,65.8828,48.8516,-0.082,4.29,0,,0,0,0,0,0,0.47,19,25,0,1
ELP,Gulf of California,2017,-0.229473862,-0.666,0,0,0,0,0,2.540229768,26.482,3.276465257,23.691,3.165095229,18.48366667,2.916887459,20.891,18.48366667,-0.114,3.161,0,,19,0,0,0,0,-0.88,31,24,16,4
GAV,Gulf of California,1998,0.903249819,0,0,0,0,0,0,4.465771651,41.358,3.722265873,54.895,4.00542227,59.412,4.084496226,66.5445,62.77633333,-0.06,4.466,0,,0,0,0,0,0,-0.058,20,27,0,1
GAV,Gulf of California,1999,-1.291035895,-4.26,-1.29,0,0,-1.03,-0.86,2.790697466,34.252,3.533744957,29.146,3.372317682,20.6498,3.027705634,7.8708,14.6856,-0.018,2.791,0,,63,10,0,-1.996,0,-1.668,24,11,65,36
GAV,Gulf of California,2000,-0.563893038,-2.79,0,0,0,-0.37,0,3.495893278,42.748,3.755322411,40.2,3.693866996,42.5676,3.751093401,42.1642,43.8446,-0.053,3.496,0,,40,1,0,-0.604,0,-3.878,23,25,42,24
